,tanggal,nama,satuan,harga,kategori
0,2019-01-01,beras ir64 (kw premium),kg,13000.0,beras
1,2019-02-01,beras ir64 (kw premium),kg,13000.0,beras
2,2019-03-01,beras ir64 (kw premium),kg,13000.0,beras
3,2019-04-01,beras ir64 (kw premium),kg,13000.0,beras
4,2019-05-01,beras ir64 (kw premium),kg,13000.0,beras
5,2019-06-01,beras ir64 (kw premium),kg,13000.0,beras
6,2019-07-01,beras ir64 (kw premium),kg,13000.0,beras
7,2019-08-01,beras ir64 (kw premium),kg,13000.0,beras
8,2019-09-01,beras ir64 (kw premium),kg,13000.0,beras
9,2019-10-01,beras ir64 (kw premium),kg,13000.0,beras
10,2019-11-01,beras ir64 (kw premium),kg,12947.3684210526,beras
11,2019-12-01,beras ir64 (kw premium),kg,12460.0,beras
12,2019-01-01,beras ir64 (kw medium),kg,9966.66666666666,beras
13,2019-02-01,beras ir64 (kw medium),kg,9866.66666666666,beras
14,2019-03-01,beras ir64 (kw medium),kg,9831.66666666667,beras
15,2019-04-01,beras ir64 (kw medium),kg,9294.73684210527,beras
16,2019-05-01,beras ir64 (kw medium),kg,9166.66666666666,beras
17,2019-06-01,beras ir64 (kw medium),kg,9166.66666666666,beras
18,2019-07-01,beras ir64 (kw medium),kg,9166.66666666666,beras
19,2019-08-01,beras ir64 (kw medium),kg,9525.75757575757,beras
20,2019-09-01,beras ir64 (kw medium),kg,9666.66666666666,beras
21,2019-10-01,beras ir64 (kw medium),kg,9698.4126984127,beras
22,2019-11-01,beras ir64 (kw medium),kg,9666.66666666666,beras
23,2019-12-01,beras ir64 (kw medium),kg,9666.66666666666,beras
24,2019-01-01,gula pasir kristal putih,kg,11000.0,gula
25,2019-02-01,gula pasir kristal putih,kg,11078.9473684211,gula
26,2019-03-01,gula pasir kristal putih,kg,11500.0,gula
27,2019-04-01,gula pasir kristal putih,kg,11500.0,gula
28,2019-05-01,gula pasir kristal putih,kg,12909.0909090909,gula
29,2019-06-01,gula pasir kristal putih,kg,13000.0,gula
30,2019-07-01,gula pasir kristal putih,kg,12318.1818181818,gula
31,2019-08-01,gula pasir kristal putih,kg,12000.0,gula
32,2019-09-01,gula pasir kristal putih,kg,12000.0,gula
33,2019-10-01,gula pasir kristal putih,kg,12595.2380952381,gula
34,2019-11-01,gula pasir kristal putih,kg,12500.0,gula
35,2019-12-01,gula pasir kristal putih,kg,13000.0,gula
36,2019-01-01,"minyak goreng curah, tanpa merek",liter,10000.0,minyak goreng
37,2019-02-01,"minyak goreng curah, tanpa merek",liter,10000.0,minyak goreng
38,2019-03-01,"minyak goreng curah, tanpa merek",liter,10000.0,minyak goreng
39,2019-04-01,"minyak goreng curah, tanpa merek",liter,10000.0,minyak goreng
40,2019-05-01,"minyak goreng curah, tanpa merek",liter,10000.0,minyak goreng
41,2019-06-01,"minyak goreng curah, tanpa merek",liter,10000.0,minyak goreng
42,2019-07-01,"minyak goreng curah, tanpa merek",liter,9318.18181818182,minyak goreng
43,2019-08-01,"minyak goreng curah, tanpa merek",liter,9386.36363636364,minyak goreng
44,2019-09-01,"minyak goreng curah, tanpa merek",liter,10000.0,minyak goreng
45,2019-10-01,"minyak goreng curah, tanpa merek",liter,10000.0,minyak goreng
46,2019-11-01,"minyak goreng curah, tanpa merek",liter,11105.2631578947,minyak goreng
47,2019-12-01,"minyak goreng curah, tanpa merek",liter,11800.0,minyak goreng
48,2019-01-01,"minyak goreng kemasan, plastik, bimoli kl",liter,13000.0,minyak goreng
49,2019-02-01,"minyak goreng kemasan, plastik, bimoli kl",liter,13000.0,minyak goreng
50,2019-03-01,"minyak goreng kemasan, plastik, bimoli kl",liter,13000.0,minyak goreng
51,2019-04-01,"minyak goreng kemasan, plastik, bimoli kl",liter,13000.0,minyak goreng
52,2019-05-01,"minyak goreng kemasan, plastik, bimoli kl",liter,13000.0,minyak goreng
53,2019-06-01,"minyak goreng kemasan, plastik, bimoli kl",liter,13000.0,minyak goreng
54,2019-07-01,"minyak goreng kemasan, plastik, bimoli kl",liter,13000.0,minyak goreng
55,2019-08-01,"minyak goreng kemasan, plastik, bimoli kl",liter,13000.0,minyak goreng
56,2019-09-01,"minyak goreng kemasan, plastik, bimoli kl",liter,13000.0,minyak goreng
57,2019-10-01,"minyak goreng kemasan, plastik, bimoli kl",liter,13000.0,minyak goreng
58,2019-11-01,"minyak goreng kemasan, plastik, bimoli kl",liter,13000.0,minyak goreng
59,2019-12-01,"minyak goreng kemasan, plastik, bimoli kl",liter,13000.0,minyak goreng
60,2019-01-01,minyak goreng kemasan sederhana (1 lt),liter,10500.0,minyak goreng
61,2019-02-01,minyak goreng kemasan sederhana (1 lt),liter,10500.0,minyak goreng
62,2019-03-01,minyak goreng kemasan sederhana (1 lt),liter,10500.0,minyak goreng
63,2019-04-01,minyak goreng kemasan sederhana (1 lt),liter,10500.0,minyak goreng
64,2019-05-01,minyak goreng kemasan sederhana (1 lt),liter,10500.0,minyak goreng
65,2019-06-01,minyak goreng kemasan sederhana (1 lt),liter,10500.0,minyak goreng
66,2019-07-01,minyak goreng kemasan sederhana (1 lt),liter,10500.0,minyak goreng
67,2019-08-01,minyak goreng kemasan sederhana (1 lt),liter,10500.0,minyak goreng
68,2019-09-01,minyak goreng kemasan sederhana (1 lt),liter,10500.0,minyak goreng
69,2019-10-01,minyak goreng kemasan sederhana (1 lt),liter,10500.0,minyak goreng
70,2019-11-01,minyak goreng kemasan sederhana (1 lt),liter,11157.8947368421,minyak goreng
71,2019-12-01,minyak goreng kemasan sederhana (1 lt),liter,11800.0,minyak goreng
72,2019-01-01,"daging sapi lokal, paha depan (chuck)",kg,123333.333333333,daging sapi
73,2019-02-01,"daging sapi lokal, paha depan (chuck)",kg,123333.333333333,daging sapi
74,2019-03-01,"daging sapi lokal, paha depan (chuck)",kg,123333.333333333,daging sapi
75,2019-04-01,"daging sapi lokal, paha depan (chuck)",kg,123333.333333333,daging sapi
76,2019-05-01,"daging sapi lokal, paha depan (chuck)",kg,123333.333333333,daging sapi
77,2019-06-01,"daging sapi lokal, paha depan (chuck)",kg,128115.942028986,daging sapi
78,2019-07-01,"daging sapi lokal, paha depan (chuck)",kg,123333.333333333,daging sapi
79,2019-08-01,"daging sapi lokal, paha depan (chuck)",kg,123333.333333333,daging sapi
80,2019-09-01,"daging sapi lokal, paha depan (chuck)",kg,123333.333333333,daging sapi
81,2019-10-01,"daging sapi lokal, paha depan (chuck)",kg,123968.253968254,daging sapi
82,2019-11-01,"daging sapi lokal, paha depan (chuck)",kg,123333.333333333,daging sapi
83,2019-12-01,"daging sapi lokal, paha depan (chuck)",kg,123333.333333333,daging sapi
84,2019-01-01,"daging sapi lokal, paha belakang",kg,123333.333333333,daging sapi
85,2019-02-01,"daging sapi lokal, paha belakang",kg,123333.333333333,daging sapi
86,2019-03-01,"daging sapi lokal, paha belakang",kg,123333.333333333,daging sapi
87,2019-04-01,"daging sapi lokal, paha belakang",kg,123333.333333333,daging sapi
88,2019-05-01,"daging sapi lokal, paha belakang",kg,123333.333333333,daging sapi
89,2019-06-01,"daging sapi lokal, paha belakang",kg,128115.942028986,daging sapi
90,2019-07-01,"daging sapi lokal, paha belakang",kg,123333.333333333,daging sapi
91,2019-08-01,"daging sapi lokal, paha belakang",kg,123333.333333333,daging sapi
92,2019-09-01,"daging sapi lokal, paha belakang",kg,123333.333333333,daging sapi
93,2019-10-01,"daging sapi lokal, paha belakang",kg,123968.253968254,daging sapi
94,2019-11-01,"daging sapi lokal, paha belakang",kg,123333.333333333,daging sapi
95,2019-12-01,"daging sapi lokal, paha belakang",kg,123333.333333333,daging sapi
96,2019-01-01,"daging sapi lokal, has luar (sirloin)",kg,123333.333333333,daging sapi
97,2019-02-01,"daging sapi lokal, has luar (sirloin)",kg,123333.333333333,daging sapi
98,2019-03-01,"daging sapi lokal, has luar (sirloin)",kg,123333.333333333,daging sapi
99,2019-04-01,"daging sapi lokal, has luar (sirloin)",kg,123333.333333333,daging sapi
100,2019-05-01,"daging sapi lokal, has luar (sirloin)",kg,123333.333333333,daging sapi
101,2019-06-01,"daging sapi lokal, has luar (sirloin)",kg,128115.942028986,daging sapi
102,2019-07-01,"daging sapi lokal, has luar (sirloin)",kg,123333.333333333,daging sapi
103,2019-08-01,"daging sapi lokal, has luar (sirloin)",kg,123333.333333333,daging sapi
104,2019-09-01,"daging sapi lokal, has luar (sirloin)",kg,123333.333333333,daging sapi
105,2019-10-01,"daging sapi lokal, has luar (sirloin)",kg,123968.253968254,daging sapi
106,2019-11-01,"daging sapi lokal, has luar (sirloin)",kg,123333.333333333,daging sapi
107,2019-12-01,"daging sapi lokal, has luar (sirloin)",kg,123333.333333333,daging sapi
108,2019-01-01,"daging sapi lokal, sandung lamur (brisket",kg,105000.0,daging sapi
109,2019-02-01,"daging sapi lokal, sandung lamur (brisket",kg,105000.0,daging sapi
110,2019-03-01,"daging sapi lokal, sandung lamur (brisket",kg,104250.0,daging sapi
